param1,param2,param3,var1
0.00,-2.0,0.5,0.98
0.25,-2.0,0.5,0.712549
0.50,-2.0,0.5,0.560409
0.75,-2.0,0.5,0.466342
1.00,-2.0,0.5,0.402432
1.25,-2.0,0.5,0.356221
1.50,-2.0,0.5,0.321268
1.75,-2.0,0.5,0.293906
2.00,-2.0,0.5,0.271916
2.25,-2.0,0.5,0.253862
2.50,-2.0,0.5,0.238753
2.75,-2.0,0.5,0.225951
3.00,-2.0,0.5,0.214953
3.25,-2.0,0.5,0.205373
3.50,-2.0,0.5,0.196994
3.75,-2.0,0.5,0.189583
4.00,-2.0,0.5,0.182945
4.25,-2.0,0.5,0.177016
4.50,-2.0,0.5,0.171663
4.75,-2.0,0.5,0.166765
5.00,-2.0,0.5,0.162325
5.25,-2.0,0.5,0.158253
5.50,-2.0,0.5,0.154463
5.75,-2.0,0.5,0.150989
6.00,-2.0,0.5,0.147763
6.25,-2.0,0.5,0.144717
6.50,-2.0,0.5,0.141903
6.75,-2.0,0.5,0.139261
7.00,-2.0,0.5,0.136737
7.25,-2.0,0.5,0.134389
7.50,-2.0,0.5,0.132167
7.75,-2.0,0.5,0.13002
8.00,-2.0,0.5,0.128014
8.25,-2.0,0.5,0.126101
8.50,-2.0,0.5,0.124237
8.75,-2.0,0.5,0.122487
9.00,-2.0,0.5,0.120808
9.25,-2.0,0.5,0.119159
9.50,-2.0,0.5,0.117607
9.75,-2.0,0.5,0.11611
10.00,-2.0,0.5,0.114629
10.25,-2.0,0.5,0.113232
10.50,-2.0,0.5,0.11188
10.75,-2.0,0.5,0.110534
11.00,-2.0,0.5,0.109262
11.25,-2.0,0.5,0.108027
11.50,-2.0,0.5,0.106792
11.75,-2.0,0.5,0.105623
12.00,-2.0,0.5,0.104484
12.25,-2.0,0.5,0.103342
12.50,-2.0,0.5,0.102259
12.75,-2.0,0.5,0.101202
13.00,-2.0,0.5,0.10014
13.25,-2.0,0.5,0.099131
13.50,-2.0,0.5,0.098145
13.75,-2.0,0.5,0.097153
14.00,-2.0,0.5,0.096209
14.25,-2.0,0.5,0.095286
14.50,-2.0,0.5,0.094356
14.75,-2.0,0.5,0.093471
15.00,-2.0,0.5,0.092605
15.25,-2.0,0.5,0.091732
15.50,-2.0,0.5,0.090901
15.75,-2.0,0.5,0.090089
16.00,-2.0,0.5,0.089268
16.25,-2.0,0.5,0.088489
16.50,-2.0,0.5,0.087726
16.75,-2.0,0.5,0.086956
17.00,-2.0,0.5,0.086225
17.25,-2.0,0.5,0.08551
17.50,-2.0,0.5,0.084789
17.75,-2.0,0.5,0.084105
18.00,-2.0,0.5,0.083437
18.25,-2.0,0.5,0.082763
18.50,-2.0,0.5,0.082125
18.75,-2.0,0.5,0.081503
19.00,-2.0,0.5,0.080876
19.25,-2.0,0.5,0.080284
19.50,-2.0,0.5,0.079708
19.75,-2.0,0.5,0.079127
20.00,-2.0,0.5,0.078581
20.25,-2.0,0.5,0.078051
20.50,-2.0,0.5,0.077516
20.75,-2.0,0.5,0.077016
21.00,-2.0,0.5,0.076532
21.25,-2.0,0.5,0.076043
21.50,-2.0,0.5,0.07559
21.75,-2.0,0.5,0.075152
22.00,-2.0,0.5,0.074711
22.25,-2.0,0.5,0.074304
22.50,-2.0,0.5,0.073912
22.75,-2.0,0.5,0.073519
23.00,-2.0,0.5,0.073159
23.25,-2.0,0.5,0.072815
23.50,-2.0,0.5,0.072469
23.75,-2.0,0.5,0.072157
24.00,-2.0,0.5,0.07186
24.25,-2.0,0.5,0.071563
24.50,-2.0,0.5,0.071298
24.75,-2.0,0.5,0.071049
25.00,-2.0,0.5,0.0708
25.25,-2.0,0.5,0.070583
25.50,-2.0,0.5,0.070382
25.75,-2.0,0.5,0.070182
26.00,-2.0,0.5,0.070014
26.25,-2.0,0.5,0.069861
26.50,-2.0,0.5,0.06971
26.75,-2.0,0.5,0.069589
27.00,-2.0,0.5,0.069484
27.25,-2.0,0.5,0.069381
27.50,-2.0,0.5,0.069309
27.75,-2.0,0.5,0.069252
28.00,-2.0,0.5,0.069197
28.25,-2.0,0.5,0.069172
28.50,-2.0,0.5,0.069163
28.75,-2.0,0.5,0.069155
29.00,-2.0,0.5,0.069413333
29.25,-2.0,0.5,0.069671667
29.50,-2.0,0.5,0.06993
29.75,-2.0,0.5,0.069939
30.00,-2.0,0.5,0.069954
30.25,-2.0,0.5,0.06996
30.50,-2.0,0.5,0.069982
30.75,-2.0,0.5,0.070007
31.00,-2.0,0.5,0.07002
31.25,-2.0,0.5,0.070044
31.50,-2.0,0.5,0.07007
31.75,-2.0,0.5,0.07008
32.00,-2.0,0.5,0.070098
32.25,-2.0,0.5,0.070114
32.50,-2.0,0.5,0.070111
32.75,-2.0,0.5,0.070111
33.00,-2.0,0.5,0.070106
33.25,-2.0,0.5,0.070079
33.50,-2.0,0.5,0.070051
33.75,-2.0,0.5,0.070014
34.00,-2.0,0.5,0.069951
34.25,-2.0,0.5,0.069881
34.50,-2.0,0.5,0.069799
34.75,-2.0,0.5,0.069687
35.00,-2.0,0.5,0.069564
0.00,-1.8,0.5,0.98
0.25,-1.8,0.5,0.712196
0.50,-1.8,0.5,0.560739
0.75,-1.8,0.5,0.467372
1.00,-1.8,0.5,0.403909
1.25,-1.8,0.5,0.358221
1.50,-1.8,0.5,0.323716
1.75,-1.8,0.5,0.296589
2.00,-1.8,0.5,0.274901
2.25,-1.8,0.5,0.257132
2.50,-1.8,0.5,0.242166
2.75,-1.8,0.5,0.229546
3.00,-1.8,0.5,0.218744
3.25,-1.8,0.5,0.209262
3.50,-1.8,0.5,0.200995
3.75,-1.8,0.5,0.193727
4.00,-1.8,0.5,0.187161
4.25,-1.8,0.5,0.181301
4.50,-1.8,0.5,0.176056
4.75,-1.8,0.5,0.171213
5.00,-1.8,0.5,0.166815
5.25,-1.8,0.5,0.162826
5.50,-1.8,0.5,0.15908
5.75,-1.8,0.5,0.155628
6.00,-1.8,0.5,0.152468
6.25,-1.8,0.5,0.149458
6.50,-1.8,0.5,0.14665
6.75,-1.8,0.5,0.144062
7.00,-1.8,0.5,0.141567
7.25,-1.8,0.5,0.139215
7.50,-1.8,0.5,0.137036
7.75,-1.8,0.5,0.134914
8.00,-1.8,0.5,0.132895
8.25,-1.8,0.5,0.131016
8.50,-1.8,0.5,0.129171
8.75,-1.8,0.5,0.127404
9.00,-1.8,0.5,0.125751
9.25,-1.8,0.5,0.124118
9.50,-1.8,0.5,0.122545
9.75,-1.8,0.5,0.121066
10.00,-1.8,0.5,0.119598
10.25,-1.8,0.5,0.118178
10.50,-1.8,0.5,0.116838
10.75,-1.8,0.5,0.115502
11.00,-1.8,0.5,0.114205
11.25,-1.8,0.5,0.112976
11.50,-1.8,0.5,0.111748
11.75,-1.8,0.5,0.110552
12.00,-1.8,0.5,0.109416
12.25,-1.8,0.5,0.108278
12.50,-1.8,0.5,0.107168
12.75,-1.8,0.5,0.106111
13.00,-1.8,0.5,0.10505
13.25,-1.8,0.5,0.104013
13.50,-1.8,0.5,0.103024
13.75,-1.8,0.5,0.102031
14.00,-1.8,0.5,0.101059
14.25,-1.8,0.5,0.100131
14.50,-1.8,0.5,0.099199
14.75,-1.8,0.5,0.098286
15.00,-1.8,0.5,0.097414
15.25,-1.8,0.5,0.096537
15.50,-1.8,0.5,0.095677
15.75,-1.8,0.5,0.094857
16.00,-1.8,0.5,0.094032
16.25,-1.8,0.5,0.093224
