param1,param2,param3,var1
0.0,0.0,0.5,0.98
1.0,0.0,0.5,0.98
2.0,0.0,0.5,0.98
3.0,0.0,0.5,0.98
4.0,0.0,0.5,0.98
5.0,0.0,0.5,0.98
6.0,0.0,0.5,0.98
7.0,0.0,0.5,0.98
8.0,0.0,0.5,0.98
9.0,0.0,0.5,0.98
10.0,0.0,0.5,0.98
11.0,0.0,0.5,0.98
12.0,0.0,0.5,0.98
13.0,0.0,0.5,0.98
14.0,0.0,0.5,0.98
15.0,0.0,0.5,0.98
16.0,0.0,0.5,0.98
17.0,0.0,0.5,0.98
18.0,0.0,0.5,0.98
19.0,0.0,0.5,0.98
20.0,0.0,0.5,0.98
21.0,0.0,0.5,0.98
22.0,0.0,0.5,0.98
23.0,0.0,0.5,0.98
24.0,0.0,0.5,0.98
25.0,0.0,0.5,0.98
26.0,0.0,0.5,0.98
27.0,0.0,0.5,0.98
28.0,0.0,0.5,0.98
29.0,0.0,0.5,0.98
30.0,0.0,0.5,0.98
31.0,0.0,0.5,0.98
32.0,0.0,0.5,0.98
33.0,0.0,0.5,0.98
34.0,0.0,0.5,0.98
35.0,0.0,0.5,0.98
0.0,0.2,0.5,0.98
1.0,0.2,0.5,0.740455
2.0,0.2,0.5,0.635154
3.0,0.2,0.5,0.578285
4.0,0.2,0.5,0.542208
5.0,0.2,0.5,0.517081
6.0,0.2,0.5,0.498287
7.0,0.2,0.5,0.483082
8.0,0.2,0.5,0.470321
9.0,0.2,0.5,0.459327
10.0,0.2,0.5,0.449287
11.0,0.2,0.5,0.440043
12.0,0.2,0.5,0.43149
13.0,0.2,0.5,0.423285
14.0,0.2,0.5,0.415467
15.0,0.2,0.5,0.408081
16.0,0.2,0.5,0.400947
17.0,0.2,0.5,0.394165
18.0,0.2,0.5,0.387837
19.0,0.2,0.5,0.381847
20.0,0.2,0.5,0.37632
21.0,0.2,0.5,0.371379
22.0,0.2,0.5,0.36693
23.0,0.2,0.5,0.363101
24.0,0.2,0.5,0.360013
25.0,0.2,0.5,0.357569
26.0,0.2,0.5,0.355882
27.0,0.2,0.5,0.355045
28.0,0.2,0.5,0.354949
29.0,0.2,0.5,0.356784667
30.0,0.2,0.5,0.360145
31.0,0.2,0.5,0.361532
32.0,0.2,0.5,0.362935
33.0,0.2,0.5,0.364175
34.0,0.2,0.5,0.364946
35.0,0.2,0.5,0.365028
0.0,0.4,0.5,0.98
1.0,0.4,0.5,0.606712
2.0,0.4,0.5,0.482304
3.0,0.4,0.5,0.421475
4.0,0.4,0.5,0.385095
5.0,0.4,0.5,0.360687
6.0,0.4,0.5,0.342795
7.0,0.4,0.5,0.328655
8.0,0.4,0.5,0.317105
9.0,0.4,0.5,0.30718
10.0,0.4,0.5,0.298254
11.0,0.4,0.5,0.290242
12.0,0.4,0.5,0.282834
13.0,0.4,0.5,0.2758
14.0,0.4,0.5,0.269249
15.0,0.4,0.5,0.263066
16.0,0.4,0.5,0.257137
17.0,0.4,0.5,0.251621
18.0,0.4,0.5,0.246468
19.0,0.4,0.5,0.241618
20.0,0.4,0.5,0.237236
21.0,0.4,0.5,0.233297
22.0,0.4,0.5,0.229762
23.0,0.4,0.5,0.226788
24.0,0.4,0.5,0.224352
25.0,0.4,0.5,0.222419
26.0,0.4,0.5,0.221128
27.0,0.4,0.5,0.220444
28.0,0.4,0.5,0.220324
29.0,0.4,0.5,0.221671
30.0,0.4,0.5,0.224152
31.0,0.4,0.5,0.225126
32.0,0.4,0.5,0.226141
33.0,0.4,0.5,0.227008
34.0,0.4,0.5,0.227487
35.0,0.4,0.5,0.227438
0.0,0.6,0.5,0.98
1.0,0.6,0.5,0.528228
2.0,0.6,0.5,0.400722
3.0,0.6,0.5,0.341755
4.0,0.6,0.5,0.307406
5.0,0.6,0.5,0.284698
6.0,0.6,0.5,0.268317
7.0,0.6,0.5,0.255575
8.0,0.6,0.5,0.245168
9.0,0.6,0.5,0.236315
10.0,0.6,0.5,0.228508
11.0,0.6,0.5,0.221466
12.0,0.6,0.5,0.214998
13.0,0.6,0.5,0.20898
14.0,0.6,0.5,0.203347
15.0,0.6,0.5,0.198051
16.0,0.6,0.5,0.19307
17.0,0.6,0.5,0.188407
18.0,0.6,0.5,0.184063
19.0,0.6,0.5,0.180049
20.0,0.6,0.5,0.17639
21.0,0.6,0.5,0.173104
22.0,0.6,0.5,0.170214
23.0,0.6,0.5,0.167744
24.0,0.6,0.5,0.165716
25.0,0.6,0.5,0.164148
26.0,0.6,0.5,0.163056
27.0,0.6,0.5,0.162457
28.0,0.6,0.5,0.162354
29.0,0.6,0.5,0.163376333
30.0,0.6,0.5,0.165249
31.0,0.6,0.5,0.165984
32.0,0.6,0.5,0.166728
33.0,0.6,0.5,0.167337
34.0,0.6,0.5,0.16765
35.0,0.6,0.5,0.167518
0.0,0.8,0.5,0.98
1.0,0.8,0.5,0.478948
2.0,0.8,0.5,0.351951
3.0,0.8,0.5,0.294855
4.0,0.8,0.5,0.262103
5.0,0.8,0.5,0.24075
6.0,0.8,0.5,0.225464
7.0,0.8,0.5,0.213603
8.0,0.8,0.5,0.204009
9.0,0.8,0.5,0.195944
10.0,0.8,0.5,0.18881
11.0,0.8,0.5,0.182425
12.0,0.8,0.5,0.176651
13.0,0.8,0.5,0.171246
14.0,0.8,0.5,0.166214
15.0,0.8,0.5,0.161559
16.0,0.8,0.5,0.157147
17.0,0.8,0.5,0.153033
18.0,0.8,0.5,0.149259
19.0,0.8,0.5,0.145739
20.0,0.8,0.5,0.14254
21.0,0.8,0.5,0.13971
22.0,0.8,0.5,0.137186
23.0,0.8,0.5,0.135032
24.0,0.8,0.5,0.133293
25.0,0.8,0.5,0.131911
26.0,0.8,0.5,0.130944
27.0,0.8,0.5,0.130421
28.0,0.8,0.5,0.130287
29.0,0.8,0.5,0.131096333
30.0,0.8,0.5,0.132599
31.0,0.8,0.5,0.133153
32.0,0.8,0.5,0.133709
33.0,0.8,0.5,0.134171
34.0,0.8,0.5,0.134362
35.0,0.8,0.5,0.134161
0.0,1.0,0.5,0.98
1.0,1.0,0.5,0.446976
2.0,1.0,0.5,0.320654
3.0,1.0,0.5,0.264875
4.0,1.0,0.5,0.233296
5.0,1.0,0.5,0.212774
6.0,1.0,0.5,0.198126
7.0,1.0,0.5,0.186874
8.0,1.0,0.5,0.177828
9.0,1.0,0.5,0.170212
10.0,1.0,0.5,0.163539
11.0,1.0,0.5,0.157628
12.0,1.0,0.5,0.152256
13.0,1.0,0.5,0.147268
14.0,1.0,0.5,0.14268
15.0,1.0,0.5,0.138404
16.0,1.0,0.5,0.134379
17.0,1.0,0.5,0.130669
18.0,1.0,0.5,0.127234
19.0,1.0,0.5,0.124049
20.0,1.0,0.5,0.121185
21.0,1.0,0.5,0.118621
22.0,1.0,0.5,0.116346
23.0,1.0,0.5,0.114424
24.0,1.0,0.5,0.112842
25.0,1.0,0.5,0.111588
26.0,1.0,0.5,0.110716
27.0,1.0,0.5,0.11021
28.0,1.0,0.5,0.110055
29.0,1.0,0.5,0.110710667
30.0,1.0,0.5,0.111953
31.0,1.0,0.5,0.112376
32.0,1.0,0.5,0.11282
