param1,param2,param3,var1
0.0,-2.0,0.5,0.98
1.0,-2.0,0.5,0.402432
2.0,-2.0,0.5,0.271916
3.0,-2.0,0.5,0.214953
4.0,-2.0,0.5,0.182945
5.0,-2.0,0.5,0.162325
6.0,-2.0,0.5,0.147763
7.0,-2.0,0.5,0.136737
8.0,-2.0,0.5,0.128014
9.0,-2.0,0.5,0.120808
10.0,-2.0,0.5,0.114629
11.0,-2.0,0.5,0.109262
12.0,-2.0,0.5,0.104484
13.0,-2.0,0.5,0.10014
14.0,-2.0,0.5,0.096209
15.0,-2.0,0.5,0.092605
16.0,-2.0,0.5,0.089268
17.0,-2.0,0.5,0.086225
18.0,-2.0,0.5,0.083437
19.0,-2.0,0.5,0.080876
20.0,-2.0,0.5,0.078581
21.0,-2.0,0.5,0.076532
22.0,-2.0,0.5,0.074711
23.0,-2.0,0.5,0.073159
24.0,-2.0,0.5,0.07186
25.0,-2.0,0.5,0.0708
26.0,-2.0,0.5,0.070014
27.0,-2.0,0.5,0.069484
28.0,-2.0,0.5,0.069197
29.0,-2.0,0.5,0.069413
30.0,-2.0,0.5,0.069954
31.0,-2.0,0.5,0.07002
32.0,-2.0,0.5,0.070098
33.0,-2.0,0.5,0.070106
34.0,-2.0,0.5,0.069951
35.0,-2.0,0.5,0.069564
0.0,-1.6,0.5,0.98
1.0,-1.6,0.5,0.407865
2.0,-1.6,0.5,0.280052
3.0,-1.6,0.5,0.224497
4.0,-1.6,0.5,0.193285
5.0,-1.6,0.5,0.173144
6.0,-1.6,0.5,0.158888
7.0,-1.6,0.5,0.148078
8.0,-1.6,0.5,0.139451
9.0,-1.6,0.5,0.13228
10.0,-1.6,0.5,0.126113
11.0,-1.6,0.5,0.120695
12.0,-1.6,0.5,0.115836
13.0,-1.6,0.5,0.111407
14.0,-1.6,0.5,0.107356
15.0,-1.6,0.5,0.103621
16.0,-1.6,0.5,0.100159
17.0,-1.6,0.5,0.096974
18.0,-1.6,0.5,0.094046
19.0,-1.6,0.5,0.091362
20.0,-1.6,0.5,0.088941
21.0,-1.6,0.5,0.086777
22.0,-1.6,0.5,0.08487
23.0,-1.6,0.5,0.083239
24.0,-1.6,0.5,0.081882
25.0,-1.6,0.5,0.080799
26.0,-1.6,0.5,0.080005
27.0,-1.6,0.5,0.079496
28.0,-1.6,0.5,0.079268
29.0,-1.6,0.5,0.079618
30.0,-1.6,0.5,0.080358
31.0,-1.6,0.5,0.080538
32.0,-1.6,0.5,0.080725
33.0,-1.6,0.5,0.080831
34.0,-1.6,0.5,0.080757
35.0,-1.6,0.5,0.080422
0.0,-1.2,0.5,0.98
1.0,-1.2,0.5,0.426509
2.0,-1.2,0.5,0.300442
3.0,-1.2,0.5,0.245423
4.0,-1.2,0.5,0.214352
