param1,param2,param3,var1
0.0,0.0,0.5,0.98
2.0,0.0,0.5,0.98
4.0,0.0,0.5,0.98
6.0,0.0,0.5,0.98
8.0,0.0,0.5,0.98
10.0,0.0,0.5,0.98
12.0,0.0,0.5,0.98
14.0,0.0,0.5,0.98
16.0,0.0,0.5,0.98
18.0,0.0,0.5,0.98
20.0,0.0,0.5,0.98
22.0,0.0,0.5,0.98
24.0,0.0,0.5,0.98
26.0,0.0,0.5,0.98
28.0,0.0,0.5,0.98
30.0,0.0,0.5,0.98
32.0,0.0,0.5,0.98
34.0,0.0,0.5,0.98
35.0,0.0,0.5,0.98
0.0,0.8,0.5,0.98
2.0,0.8,0.5,0.351951
4.0,0.8,0.5,0.262103
6.0,0.8,0.5,0.225464
8.0,0.8,0.5,0.204009
10.0,0.8,0.5,0.18881
12.0,0.8,0.5,0.176651
14.0,0.8,0.5,0.166214
16.0,0.8,0.5,0.157147
18.0,0.8,0.5,0.149259
20.0,0.8,0.5,0.14254
22.0,0.8,0.5,0.137186
24.0,0.8,0.5,0.133293
26.0,0.8,0.5,0.130944
28.0,0.8,0.5,0.130287
30.0,0.8,0.5,0.132599
32.0,0.8,0.5,0.133709
34.0,0.8,0.5,0.134362
35.0,0.8,0.5,0.134161
0.0,1.6,0.5,0.98
2.0,1.6,0.5,0.280052
4.0,1.6,0.5,0.193285
6.0,1.6,0.5,0.158888
8.0,1.6,0.5,0.139451
10.0,1.6,0.5,0.126113
12.0,1.6,0.5,0.115836
14.0,1.6,0.5,0.107356
16.0,1.6,0.5,0.100159
18.0,1.6,0.5,0.094046
20.0,1.6,0.5,0.088941
22.0,1.6,0.5,0.08487
24.0,1.6,0.5,0.081882
26.0,1.6,0.5,0.080005
28.0,1.6,0.5,0.079268
30.0,1.6,0.5,0.080358
32.0,1.6,0.5,0.080725
34.0,1.6,0.5,0.080757
35.0,1.6,0.5,0.080422
0.0,2.4,0.5,0.98
2.0,2.4,0.5,0.272547
4.0,2.4,0.5,0.17996
6.0,2.4,0.5,0.143209
8.0,2.4,0.5,0.122638
10.0,2.4,0.5,0.10884
12.0,2.4,0.5,0.098478
14.0,2.4,0.5,0.090128
16.0,2.4,0.5,0.083208
18.0,2.4,0.5,0.077421
20.0,2.4,0.5,0.072623
22.0,2.4,0.5,0.068807
24.0,2.4,0.5,0.065962
26.0,2.4,0.5,0.064071
28.0,2.4,0.5,0.063151
30.0,2.4,0.5,0.06353
32.0,2.4,0.5,0.063487
34.0,2.4,0.5,0.063194
35.0,2.4,0.5,0.062757
0.0,3.2,0.5,0.98
2.0,3.2,0.5,0.299262
4.0,3.2,0.5,0.19283
6.0,3.2,0.5,0.149431
8.0,3.2,0.5,0.1252
10.0,3.2,0.5,0.109159
12.0,3.2,0.5,0.097357
14.0,3.2,0.5,0.088083
16.0,3.2,0.5,0.080531
18.0,3.2,0.5,0.0743
20.0,3.2,0.5,0.069186
22.0,3.2,0.5,0.065091
24.0,3.2,0.5,0.061966
26.0,3.2,0.5,0.059778
28.0,3.2,0.5,0.058497
30.0,3.2,0.5,0.057597
32.0,3.2,0.5,0.057182
34.0,3.2,0.5,0.056568
35.0,3.2,0.5,0.056021
0.0,4.0,0.5,0.98
2.0,4.0,0.5,0.327044
4.0,4.0,0.5,0.208959
6.0,4.0,0.5,0.159569
8.0,4.0,0.5,0.131834
10.0,4.0,0.5,0.113587
12.0,4.0,0.5,0.100311
14.0,4.0,0.5,0.090001
16.0,4.0,0.5,0.081715
18.0,4.0,0.5,0.074938
20.0,4.0,0.5,0.069388
22.0,4.0,0.5,0.064936
24.0,4.0,0.5,0.061487
26.0,4.0,0.5,0.058972
28.0,4.0,0.5,0.057356
30.0,4.0,0.5,0.055577
32.0,4.0,0.5,0.054842
34.0,4.0,0.5,0.053964
35.0,4.0,0.5,0.053313
0.0,4.8,0.5,0.98
2.0,4.8,0.5,0.353583
4.0,4.8,0.5,0.225846
6.0,4.8,0.5,0.171053
8.0,4.8,0.5,0.140086
10.0,4.8,0.5,0.119725
12.0,4.8,0.5,0.105007
14.0,4.8,0.5,0.093675
16.0,4.8,0.5,0.084625
18.0,4.8,0.5,0.077272
20.0,4.8,0.5,0.071267
22.0,4.8,0.5,0.066428
24.0,4.8,0.5,0.062642
26.0,4.8,0.5,0.059813
28.0,4.8,0.5,0.057878
30.0,4.8,0.5,0.055422
32.0,4.8,0.5,0.054408
34.0,4.8,0.5,0.053288
35.0,4.8,0.5,0.052543
0.0,5.6,0.5,0.98
2.0,5.6,0.5,0.377178
4.0,5.6,0.5,0.241764
6.0,5.6,0.5,0.182352
8.0,5.6,0.5,0.148525
10.0,5.6,0.5,0.126268
12.0,5.6,0.5,0.11022
14.0,5.6,0.5,0.097929
16.0,5.6,0.5,0.088162
18.0,5.6,0.5,0.080249
20.0,5.6,0.5,0.073802
22.0,5.6,0.5,0.068593
24.0,5.6,0.5,0.064481
26.0,5.6,0.5,0.061357
28.0,5.6,0.5,0.059141
